Citation,Scientific_Name,Host_Species,Host_Family,Host_Family_Simplified,Host_Order,WNV_Strain,Virus_Isolate_Date,Isolate_Location,Isolate_Lineage,Virus_Lineage,Virus_Dose,Dose_Method,Host_Isolate_Date,Host_Isolate_Location,Sample_Size_Original,Sample_Size_Death,Day,Titer,Titer_SD,Titer_SE,Survival,Alive,Potential_Error,Variance
Komar et al. 2003,Fulica_americana,American coot,Rallidae,Other,Gruiformes,NY99,1999,New York,1a1,B,10000,needle,2000,New York,1,1,1,1.7,0.566620931,0.290181523,1,1,N,Y
Komar et al. 2003,Fulica_americana,American coot,Rallidae,Other,Gruiformes,NY99,1999,New York,1a1,B,10000,needle,2000,New York,1,1,2,3.4,0.566620931,0.290181523,1,1,N,Y
Komar et al. 2003,Fulica_americana,American coot,Rallidae,Other,Gruiformes,NY99,1999,New York,1a1,B,10000,needle,2000,New York,1,1,3,4.5,0.566620931,0.290181523,1,1,N,Y
Komar et al. 2003,Fulica_americana,American coot,Rallidae,Other,Gruiformes,NY99,1999,New York,1a1,B,10000,needle,2000,New York,1,1,4,4.6,0.566620931,0.290181523,1,1,N,Y
Komar et al. 2003,Fulica_americana,American coot,Rallidae,Other,Gruiformes,NY99,1999,New York,1a1,B,10000,needle,2000,New York,1,1,5,2.8,0.566620931,0.290181523,1,1,N,Y
Komar et al. 2003,Fulica_americana,American coot,Rallidae,Other,Gruiformes,NY99,1999,New York,1a1,B,10000,needle,2000,New York,1,1,6,0.85,,,1,1,N,Y
Komar et al. 2003,Fulica_americana,American coot,Rallidae,Other,Gruiformes,NY99,1999,New York,1a1,B,10000,needle,2000,New York,1,1,7,0.85,,,1,1,N,Y
Komar et al. 2003,Fulica_americana,American coot,Rallidae,Other,Gruiformes,NY99,1999,New York,1a1,B,10000,needle,2000,New York,1,1,8,,,,1,1,N,Y
Brault et al. 2004,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,NY99,1999,New York,1a1,B,42000,needle,2002,Kansas,8,8,1,1.787,0,0,1,8,Y,Y
Brault et al. 2004,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,NY99,1999,New York,1a1,B,42000,needle,2002,Kansas,8,8,2,5.84,1.093,0.386433856,1,8,Y,Y
Brault et al. 2004,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,NY99,1999,New York,1a1,B,42000,needle,2002,Kansas,8,8,3,8.239,1.147,0.405525739,1,8,Y,Y
Brault et al. 2004,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,NY99,1999,New York,1a1,B,42000,needle,2002,Kansas,8,7,4,8.645,1.208,0.456581083,0.875,7,Y,Y
Brault et al. 2004,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,NY99,1999,New York,1a1,B,42000,needle,2002,Kansas,8,2,5,9.369,0.693,0.490024999,0.25,2,Y,Y
Brault et al. 2004,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,NY99,1999,New York,1a1,B,42000,needle,2002,Kansas,8,1,6,8.509,0.8282,0.347713136,0.125,1,Y,Y
Brault et al. 2004,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,NY99,1999,New York,1a1,B,42000,needle,2002,Kansas,8,0,7,0,,,0,0,Y,Y
Brault et al. 2004,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,NY99,1999,,1a1,B,42000,needle,2002,Kansas,8,0,8,,,,0,0,Y,Y
Brault et al. 2004,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,Kenya-3829,1998,Kenya,1a1,A,42000,needle,2002,Kansas,8,8,1,1.676,0,0,1,8,Y,Y
Brault et al. 2004,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,Kenya-3829,1998,Kenya,1a1,A,42000,needle,2002,Kansas,8,8,2,1.582,0,0,1,8,Y,Y
Brault et al. 2004,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,Kenya-3829,1998,Kenya,1a1,A,42000,needle,2002,Kansas,8,8,3,2.109,1.458,0.515480843,1,8,Y,Y
Brault et al. 2004,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,Kenya-3829,1998,Kenya,1a1,A,42000,needle,2002,Kansas,8,8,4,2.852,2.332,0.824486507,1,8,Y,Y
Brault et al. 2004,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,Kenya-3829,1998,Kenya,1a1,A,42000,needle,2002,Kansas,8,8,5,2.935,2.476,0.875398195,1,8,Y,Y
Brault et al. 2004,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,Kenya-3829,1998,Kenya,1a1,A,42000,needle,2002,Kansas,8,8,6,2.855,1.117,0.394919137,1,8,Y,Y
Brault et al. 2004,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,Kenya-3829,1998,Kenya,1a1,A,42000,needle,2002,Kansas,8,8,7,2.334,1.419,0.501692261,1,8,Y,Y
Brault et al. 2004,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,Kenya-3829,1998,Kenya,1a1,A,42000,needle,2002,Kansas,8,7,8,0.85,,,0.875,7,Y,Y
Brault et al. 2004,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,Kunjin-6453,1998,Australia,1b,A,42000,needle,2002,Kansas,8,8,1,1.681,0,0,1,8,Y,Y
Brault et al. 2004,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,Kunjin-6453,1998,Australia,1b,A,42000,needle,2002,Kansas,8,8,2,2.468,0.888,0.313955411,1,8,Y,Y
Brault et al. 2004,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,Kunjin-6453,1998,Australia,1b,A,42000,needle,2002,Kansas,8,8,3,4.044,0.883,0.312187644,1,8,Y,Y
Brault et al. 2004,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,Kunjin-6453,1998,Australia,1b,A,42000,needle,2002,Kansas,8,8,4,2.788,1.316,0.465276262,1,8,Y,Y
Brault et al. 2004,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,Kunjin-6453,1998,Australia,1b,A,42000,needle,2002,Kansas,8,8,5,0.85,0,0,1,8,Y,Y
Brault et al. 2004,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,Kunjin-6453,1998,Australia,1b,A,42000,needle,2002,Kansas,8,8,6,0.85,0,0,1,8,Y,Y
Brault et al. 2004,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,Kunjin-6453,1998,Australia,1b,A,42000,needle,2002,Kansas,8,8,7,0.85,0,0,1,8,Y,Y
Brault et al. 2004,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,Kunjin-6453,1998,Australia,1b,A,42000,needle,2002,Kansas,8,8,8,0.85,,,1,8,Y,Y
Brault et al. 2004,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,Kenya-sub,1998,Kenya,1a1,A,42000,needle,2002,Kansas,8,8,1,1.65,0,0,1,8,Y,Y
Brault et al. 2004,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,Kenya-sub,1998,Kenya,1a1,A,42000,needle,2002,Kansas,8,8,2,1.741,0,0,1,8,Y,Y
Brault et al. 2004,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,Kenya-sub,1998,Kenya,1a1,A,42000,needle,2002,Kansas,8,8,3,1.694,0,0,1,8,Y,Y
Brault et al. 2004,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,Kenya-sub,1998,Kenya,1a1,A,42000,needle,2002,Kansas,8,8,4,2.766,1.202,0.424971175,1,8,Y,Y
Brault et al. 2004,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,Kenya-sub,1998,Kenya,1a1,A,42000,needle,2002,Kansas,8,8,5,3.952,1.086,0.383958982,1,8,Y,Y
Brault et al. 2004,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,Kenya-sub,1998,Kenya,1a1,A,42000,needle,2002,Kansas,8,8,6,3.972,1.247,0.440881078,1,8,Y,Y
Brault et al. 2004,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,Kenya-sub,1998,Kenya,1a1,A,42000,needle,2002,Kansas,8,8,7,2.626,1.255,0.443709505,1,8,Y,Y
Brault et al. 2004,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,Kenya-sub,1998,Kenya,1a1,A,42000,needle,2002,Kansas,8,8,8,0.85,,,1,8,Y,Y
Brault et al. 2007,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,Kenya,1998,Kenya,1a1,A,15000,needle,2005,Kansas,16,16,1,1.564,0,0,1,16,N,Y
Brault et al. 2007,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,Kenya,1998,Kenya,1a1,A,15000,needle,2005,Kansas,16,16,2,1.724,0,0,1,16,N,Y
Brault et al. 2007,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,Kenya,1998,Kenya,1a1,A,15000,needle,2005,Kansas,16,16,3,2.886,1.413,0.35325,1,16,N,Y
Brault et al. 2007,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,Kenya,1998,Kenya,1a1,A,15000,needle,2005,Kansas,16,16,4,4.695,1.824,0.456,1,16,N,Y
Brault et al. 2007,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,Kenya,1998,Kenya,1a1,A,15000,needle,2005,Kansas,16,16,5,5.211,1.315,0.32875,1,16,N,Y
Brault et al. 2007,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,Kenya,1998,Kenya,1a1,A,15000,needle,2005,Kansas,16,16,6,4.87,1.461,0.36525,1,16,N,Y
Brault et al. 2007,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,Kenya,1998,Kenya,1a1,A,15000,needle,2005,Kansas,16,16,7,3.861,1.046,0.2615,1,16,N,Y
Brault et al. 2007,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,Kenya,1998,Kenya,1a1,A,15000,needle,2005,Kansas,16,15,8,0.85,,,0.9375,15,N,Y
Brault et al. 2007,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,Kenya_sub,1998,Kenya,1a1,A,15000,needle,2005,Kansas,16,16,1,1.564,0,0,1,16,N,Y
Brault et al. 2007,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,Kenya_sub,1998,Kenya,1a1,A,15000,needle,2005,Kansas,16,16,2,1.724,0.49,0.1225,1,16,N,Y
Brault et al. 2007,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,Kenya_sub,1998,Kenya,1a1,A,15000,needle,2005,Kansas,16,16,3,2.343,1.293,0.32325,1,16,N,Y
Brault et al. 2007,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,Kenya_sub,1998,Kenya,1a1,A,15000,needle,2005,Kansas,16,16,4,3.004,1.974,0.4935,1,16,N,Y
Brault et al. 2007,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,Kenya_sub,1998,Kenya,1a1,A,15000,needle,2005,Kansas,16,16,5,3.499,2.079,0.51975,1,16,N,Y
Brault et al. 2007,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,Kenya_sub,1998,Kenya,1a1,A,15000,needle,2005,Kansas,16,13,6,3.304,0.675,0.187211316,0.8125,13,N,Y
Brault et al. 2007,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,Kenya_sub,1998,Kenya,1a1,A,15000,needle,2005,Kansas,16,2,7,3.067,1.208,0.854184992,0.125,2,N,Y
Brault et al. 2007,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,Kenya_sub,1998,Kenya,1a1,A,15000,needle,2005,Kansas,16,0,8,0,,,0,0,N,Y
Brault et al. 2007,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,P991,1999,New York,1a1,B,15000,needle,2005,Kansas,8,8,1,3.15,0,0,1,8,N,Y
Brault et al. 2007,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,P991,1999,New York,1a1,B,15000,needle,2005,Kansas,8,8,2,6.463,0.715,0.252790674,1,8,N,Y
Brault et al. 2007,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,P991,1999,New York,1a1,B,15000,needle,2005,Kansas,8,8,3,8.502,0.796,0.281428499,1,8,N,Y
Brault et al. 2007,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,P991,1999,New York,1a1,B,15000,needle,2005,Kansas,8,7,4,9.476,0.801,0.302749543,0.875,7,N,Y
Brault et al. 2007,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,P991,1999,New York,1a1,B,15000,needle,2005,Kansas,8,3,5,8.238,0.505,0.291561886,0.375,3,N,Y
Brault et al. 2007,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,P991,1999,New York,1a1,B,15000,needle,2005,Kansas,8,3,6,7.208,1.423,0.821569433,0.375,3,N,Y
Brault et al. 2007,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,P991,1999,New York,1a1,B,15000,needle,2005,Kansas,8,0,7,0,,,0,0,N,Y
Brault et al. 2007,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,P991,1999,New York,1a1,B,15000,needle,2005,Kansas,8,0,8,,,,0,0,N,Y
Brault et al. 2007,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,P991_sub,1999,New York,1a1,B,15000,needle,2005,Kansas,8,8,1,1.564,0,0,1,8,N,Y
Brault et al. 2007,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,P991_sub,1999,New York,1a1,B,15000,needle,2005,Kansas,8,8,2,4.313,0.746,0.263750829,1,8,N,Y
Brault et al. 2007,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,P991_sub,1999,New York,1a1,B,15000,needle,2005,Kansas,8,8,3,6.957,0.849,0.300166829,1,8,N,Y
Brault et al. 2007,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,P991_sub,1999,New York,1a1,B,15000,needle,2005,Kansas,8,8,4,8.078,1.137,0.401990205,1,8,N,Y
Brault et al. 2007,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,P991_sub,1999,New York,1a1,B,15000,needle,2005,Kansas,8,8,5,8.112,1.817,0.642406511,1,8,N,Y
Brault et al. 2007,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,P991_sub,1999,New York,1a1,B,15000,needle,2005,Kansas,8,6,6,7.187,2.233,0.911618433,0.75,6,N,Y
Brault et al. 2007,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,P991_sub,1999,New York,1a1,B,15000,needle,2005,Kansas,8,2,7,2.399,1.184,0.837214429,0.25,2,N,Y
Brault et al. 2007,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,P991_sub,1999,New York,1a1,B,15000,needle,2005,Kansas,8,1,8,0.85,,,0.125,1,N,Y
Brault et al. 2011,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,BIRD1153,2003,Texas,1a2,C,15000,needle,2009,Colorado,8,8,1,1.728571196,0,0,1,8,N,Y
Brault et al. 2011,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,BIRD1153,2003,Texas,1a2,C,15000,needle,2009,Colorado,8,8,2,3.638738797,1.288738797,0.455637971,1,8,N,Y
Brault et al. 2011,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,BIRD1153,2003,Texas,1a2,C,15000,needle,2009,Colorado,8,8,3,5.263194439,1.627194439,0.575300111,1,8,N,Y
Brault et al. 2011,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,BIRD1153,2003,Texas,1a2,C,15000,needle,2009,Colorado,8,8,4,5.973518327,1.587580948,0.561294627,1,8,N,Y
Brault et al. 2011,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,BIRD1153,2003,Texas,1a2,C,15000,needle,2009,Colorado,8,8,5,5.340849484,2.141849484,0.757258147,1,8,N,Y
Brault et al. 2011,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,BIRD1153,2003,Texas,1a2,C,15000,needle,2009,Colorado,8,7,6,3.051051273,2.264948727,0.856070152,0.875,7,N,Y
Brault et al. 2011,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,BIRD1153,2003,Texas,1a2,C,15000,needle,2009,Colorado,8,6,7,1.675458075,0,0,0.75,6,N,Y
Brault et al. 2011,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,BIRD1153,2003,Texas,1a2,C,15000,needle,2009,Colorado,8,6,8,0.85,,,0.75,6,N,Y
Brault et al. 2011,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,TWN301,2003,Texas,1a2,C,15000,needle,2009,Colorado,8,8,1,1.728571196,0,0,1,8,N,Y
Brault et al. 2011,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,TWN301,2003,Texas,1a2,C,15000,needle,2009,Colorado,8,8,2,5.810149694,0.514850306,0.182027072,1,8,N,Y
Brault et al. 2011,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,TWN301,2003,Texas,1a2,C,15000,needle,2009,Colorado,8,8,3,8.32038567,1.08161433,0.382408414,1,8,N,Y
Brault et al. 2011,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,TWN301,2003,Texas,1a2,C,15000,needle,2009,Colorado,8,8,4,9.659129352,0.595870648,0.210672088,1,8,N,Y
Brault et al. 2011,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,TWN301,2003,Texas,1a2,C,15000,needle,2009,Colorado,8,6,5,9.512170841,0.801829159,0.327345383,0.75,6,N,Y
Brault et al. 2011,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,TWN301,2003,Texas,1a2,C,15000,needle,2009,Colorado,8,0,6,0,,,0,0,N,Y
Brault et al. 2011,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,TWN301,2003,Texas,1a2,C,15000,needle,2009,Colorado,8,0,7,,,,0,0,N,Y
Brault et al. 2011,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,TWN301,2003,Texas,1a2,C,15000,needle,2009,Colorado,8,0,8,,,,0,0,N,Y
Brault et al. 2011,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,TM173-03-pp1,2003,Texas,1a2,C,15000,needle,2009,Colorado,8,8,1,1.728644455,0,0,1,8,N,Y
Brault et al. 2011,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,TM173-03-pp1,2003,Texas,1a2,C,15000,needle,2009,Colorado,8,8,2,1.810108994,0,0,1,8,N,Y
Brault et al. 2011,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,TM173-03-pp1,2003,Texas,1a2,C,15000,needle,2009,Colorado,8,8,3,3.148925935,0.895925935,0.316757652,1,8,N,Y
Brault et al. 2011,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,TM173-03-pp1,2003,Texas,1a2,C,15000,needle,2009,Colorado,8,8,4,4.087746131,1.088746131,0.384929886,1,8,N,Y
Brault et al. 2011,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,TM173-03-pp1,2003,Texas,1a2,C,15000,needle,2009,Colorado,8,8,5,3.655075661,1.792075661,0.633594426,1,8,N,Y
Brault et al. 2011,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,TM173-03-pp1,2003,Texas,1a2,C,15000,needle,2009,Colorado,8,8,6,2.365342569,1.389657431,0.491318096,1,8,N,Y
Brault et al. 2011,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,TM173-03-pp1,2003,Texas,1a2,C,15000,needle,2009,Colorado,8,6,7,1.646886879,0,0,0.75,6,N,Y
Brault et al. 2011,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,TM173-03-pp1,2003,Texas,1a2,C,15000,needle,2009,Colorado,8,4,8,0.85,,,0.5,4,N,Y
Brault et al. 2011,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,NY99,1999,New York,1a1,B,15000,needle,2009,Colorado,8,8,1,1.728717715,0,0,1,8,N,Y
Brault et al. 2011,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,NY99,1999,New York,1a1,B,15000,needle,2009,Colorado,8,8,2,5.867365345,1.056634655,0.373576765,1,8,N,Y
Brault et al. 2011,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,NY99,1999,New York,1a1,B,15000,needle,2009,Colorado,8,8,3,8.206027627,0.862972373,0.305106808,1,8,N,Y
Brault et al. 2011,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,NY99,1999,New York,1a1,B,15000,needle,2009,Colorado,8,8,4,8.630566296,1.245433704,0.440327309,1,8,N,Y
Brault et al. 2011,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,NY99,1999,New York,1a1,B,15000,needle,2009,Colorado,8,2,5,9.340743665,0.724256335,0.512126566,0.25,2,N,Y
Brault et al. 2011,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,NY99,1999,New York,1a1,B,15000,needle,2009,Colorado,8,1,6,8.479431995,0.777859413,0.32622749,0.125,1,N,Y
Brault et al. 2011,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,NY99,1999,New York,1a1,B,15000,needle,2009,Colorado,8,0,7,0,,,0,0,N,Y
Brault et al. 2011,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,NY99,1999,New York,1a1,B,15000,needle,2009,Colorado,8,0,8,,,,0,0,N,Y
Brault et al. 2011,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,TM171-03-pp5,2003,Mexico,1a2,C,15000,needle,2009,Colorado,8,8,1,2.299921857,0.826078143,0.292062729,1,8,N,Y
Brault et al. 2011,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,TM171-03-pp5,2003,Mexico,1a2,C,15000,needle,2009,Colorado,8,8,2,4.638803917,1.014803917,0.358787366,1,8,N,Y
Brault et al. 2011,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,TM171-03-pp5,2003,Mexico,1a2,C,15000,needle,2009,Colorado,8,8,3,5.691689119,1.619689119,0.57264658,1,8,N,Y
Brault et al. 2011,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,TM171-03-pp5,2003,Mexico,1a2,C,15000,needle,2009,Colorado,8,8,4,6.830580948,2.490518327,0.880531199,1,8,N,Y
Brault et al. 2011,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,TM171-03-pp5,2003,Mexico,1a2,C,15000,needle,2009,Colorado,8,8,5,6.369339281,2.246660719,0.794314515,1,8,N,Y
Brault et al. 2011,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,TM171-03-pp5,2003,Mexico,1a2,C,15000,needle,2009,Colorado,8,3,6,3.908113894,3.189886106,1.841681602,0.375,3,N,Y
Brault et al. 2011,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,TM171-03-pp5,2003,Mexico,1a2,C,15000,needle,2009,Colorado,8,3,7,1.70417579,0,0,0.375,3,N,Y
Brault et al. 2011,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,TM171-03-pp5,2003,Mexico,1a2,C,15000,needle,2009,Colorado,8,3,8,0.85,,,0.375,3,N,Y
Grubaugh et al. 2015,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,NY99,2000,New York,1a1,B,1000,needle,2013,Colorado,4,4,1,,,,1,4,N,Y
Grubaugh et al. 2015,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,NY99,2000,New York,1a1,B,1000,needle,2013,Colorado,4,4,2,4.736,1.049,0.5245,1,4,N,Y
Grubaugh et al. 2015,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,NY99,2000,New York,1a1,B,1000,needle,2013,Colorado,4,4,3,6.263,0.396,0.198,1,4,N,Y
Grubaugh et al. 2015,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,NY99,2000,New York,1a1,B,1000,needle,2013,Colorado,4,4,4,7.189,1.414,0.707,1,4,N,Y
Grubaugh et al. 2015,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,NY99,2000,New York,1a1,B,1000,needle,2013,Colorado,4,4,5,6.28,2.785,1.3925,1,4,N,Y
Grubaugh et al. 2015,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,NY99,2000,New York,1a1,B,1000,needle,2013,Colorado,4,3,6,4.251,2.464,1.422591063,0.75,3,N,Y
Grubaugh et al. 2015,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,NY99,2000,New York,1a1,B,1000,needle,2013,Colorado,4,1,7,0.85,,,0.25,1,N,Y
Grubaugh et al. 2015,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,NY99,2000,New York,1a1,B,1000,needle,2013,Colorado,4,0,8,0,,,0,0,N,Y
Kinney et al. 2006,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,P991,1999,New York,1a1,B,1500,needle,2004,Colorado,8,8,1,3.198,0.525,0.18561553,1,8,N,Y
Kinney et al. 2006,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,P991,1999,New York,1a1,B,1500,needle,2004,Colorado,8,8,2,6.497,0.672,0.237587878,1,8,N,Y
Kinney et al. 2006,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,P991,1999,New York,1a1,B,1500,needle,2004,Colorado,8,8,3,8.473,0.824,0.291327994,1,8,N,Y
Kinney et al. 2006,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,P991,1999,New York,1a1,B,1500,needle,2004,Colorado,8,8,4,9.485,0.771,0.272589664,1,8,N,Y
Kinney et al. 2006,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,P991,1999,New York,1a1,B,1500,needle,2004,Colorado,8,5,5,8.212,0.503,0.224948439,0.625,5,N,Y
Kinney et al. 2006,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,P991,1999,New York,1a1,B,1500,needle,2004,Colorado,8,1,6,7.18,1.43,1.43,0.125,1,N,Y
Kinney et al. 2006,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,P991,1999,New York,1a1,B,1500,needle,2004,Colorado,8,0,7,0,,,0,0,N,Y
Kinney et al. 2006,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,P991,1999,New York,1a1,B,1500,needle,2004,Colorado,8,0,8,,,,0,0,N,Y
Kinney et al. 2006,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,Kenya-3829,1998,Kenya,1a,A,1500,needle,2004,Colorado,16,16,1,1.736,0,0,1,16,N,Y
