Species,Scientific Name, Common Name,Sex,N,Mean,S.D.,Min,Max, Season,Location ,Source #
Milvus milvus,Milvus milvus,Red Kite ,M,10,947,,802,1052,Sp,,223
Milvus milvus,Milvus milvus,Red Kite ,F,4,1213,,1140,1298,,,
Milvus migrans,Milvus migrans,Black Kite,B,96,567,83.8,360,775,,"Northern Terr., Australia",746
Milvus migrans lineatus,Milvus migrans,Black Kite,M,4,870,,800,920,,China,"925, 1087"
Milvus migrans lineatus,Milvus migrans,Black Kite,F,6,802,,680,920,,,
Haliastur sphenurus,Haliastur sphenurus,Whistling Kite,U,452,753,94.9,480,1050,,"Northern Terr., Australia",746
Haliastur indus,Haliastur indus,Brahminy Kite,B,17,529,,434,673,,,"292, 658, 746, 954"
Haliaeetus leucogaster,Haliaeetus leucogaster,White-bellied Sea-Eagle,M,10,2400,220,2120,2900,,Australia; Papua New Guinea,746
Haliaeetus leucogaster,Haliaeetus leucogaster,White-bellied Sea-Eagle,F,12,3330,290,3000,3900,,,
Haliaeetus sanfordi,Haliaeetus sanfordi,Solomon Sea-Eagle,M,1,1980,, , ,,male is subadult,"138, 658"
Haliaeetus sanfordi,Haliaeetus sanfordi,Solomon Sea-Eagle,F,3,,,2300,2500,,,
Haliaeetus vocifer,Haliaeetus vocifer,African Fish-Eagle,M,3,,,1928,2497,,,223
Haliaeetus vocifer,Haliaeetus vocifer,African Fish-Eagle,F,2,3400,,3170,3630,,,
Haliaeetus vociferoides,Haliaeetus vociferoides,Madagascar Fish-Eagle,F, ,3000,,,,,Madagascar,1279
Haliaeetus leucoryphus,Haliaeetus leucoryphus,Pallas' Fish-Eagle,M,10,2597,,2040,3278,,Mongolia,"223, 926"
Haliaeetus leucoryphus,Haliaeetus leucoryphus,Pallas' Fish-Eagle,F,9,3207,,2100,3700,,,
Haliaeetus albicilla,Haliaeetus albicilla,White-tailed Eagle,M,12,4014,755,3075,5430,,,223
Haliaeetus albicilla,Haliaeetus albicilla,White-tailed Eagle,F,18,5572,980,4080,6920,,,
Haliaeetus leucocephalus,Haliaeetus leucocephalus,Bald Eagle,M,35,4130,,3637,4819,,"Alaska, USA",894
Haliaeetus leucocephalus,Haliaeetus leucocephalus,Bald Eagle,F,37,5350,,4631,6400,,,
Haliaeetus pelagicus,Haliaeetus pelagicus,Steller's Sea-Eagle,B,3,7757,,6800,8970,,,273
Ichthyophaga humilis,Ichthyophaga humilis,Lesser Fish-Eagle,U,2,782,,780,785,,,358
Ichthyophaga ichthyaetus,Ichthyophaga ichthyaetus,Gray-headed Fish-Eagle,M,1,1590,,,,,,138
Ichthyophaga ichthyaetus,Ichthyophaga ichthyaetus,Gray-headed Fish-Eagle,F,,,,2270,2700,,,
Gypohierax angolensis,Gypohierax angolensis,Palm-nut Vulture,U,6,1600,,1361,1712,,,133
Necrosyrtes monachus,Necrosyrtes monachus,Hooded Vulture,U,7,2043,,1900,2250,,southern Africa,1036
Gypaetus barbatus,Gypaetus barbatus,Lammergeier,U,10,5680,,5000,6750,,Europe ,273
Gypaetus barbatus,Gypaetus barbatus,Lammergeier,U,5,5710,,5200,6250,,South Africa,1036
Neophron percnopterus,Neophron percnopterus,Egyptian Vulture,B,7,2082,,1829,2400,,,223
Gyps africanus,Gyps africanus,White-backed Vulture,U,44,5433,,4500,7200,,southern Africa,1036
Gyps bengalensis,Gyps bengalensis,White-rumped Vulture,B,29,4385,,3500,5560,,,7
Gyps indicus,Gyps indicus,Long-billed Griffon,B,5,5515,,5540,6250,,,7
Gyps rueppellii,Gyps rueppellii,Rueppell's Griffon,U,,7400,,,,,,538
Gyps himalayensis,Gyps himalayensis,Himalayan Griffon,U,,,,8000,12000,,,138
Gyps fulvus,Gyps fulvus,Eurasian Griffon,B,15,7436,,6200,8500,,SE Europe ,223
Gyps coprotheres,Gyps coprotheres,Cape Griffon,U,3,8177,,7587,8575,,South Africa,647
Aegypius monachus,Aegypius monachus,Cinereous Griffon,M,20,,,7000,11500,,Romania ,273
Aegypius monachus,Aegypius monachus,Cinereous Griffon,F,21,,,7500,12500,,,
Torgus tracheliotus,Torgus tracheliotus,Lappet-faced Vulture,U,21,6969,,5400,8500,,southern Africa,1036
Trigonoceps occipitalis,Trigonoceps occipitalis,White-headed Vulture,U,5,3016,,2120,4600,,Zimbabwe,1036
Sarcogyps calvus,Sarcogyps calvus,Red-headed Vulture,B,,,,3700,5400,,,358
Circaetus gallicus,Circaetus gallicus,Short-toed Eagle,M,10,1664,293,1180,2000,,,223
Circaetus gallicus,Circaetus gallicus,Short-toed Eagle,F,12,1735,350,1304,2324,,,
Circaetus pectoralis,Circaetus pectoralis,Black-breasted Snake-Eagle,B,,1500,,1200,2300,,,358
Circaetus cinereus,Circaetus cinereus,Brown Snake-Eagle,U,26,2048,,1540,2465,,,139
Circaetus fasciolatus,Circaetus fasciolatus,Fasciated Snake-Eagle,M,2,934,,908,960,,,139
Circaetus fasciolatus,Circaetus fasciolatus,Fasciated Snake-Eagle,F,1,1100,,,,,,
Terathopius ecaudatus,Terathopius ecaudatus,Bateleur,U,10,2200,,1800,3000,,,358
Spilornis cheela burmanicus,Spilornis cheela,Crested Serpent-Eagle,U,,900,,,,,,138
Spilornis cheela asturinus,Spilornis cheela,Crested Serpent-Eagle,M,1,420,,,,,,358
Spilornis cheela asturinus,Spilornis cheela,Crested Serpent-Eagle,F,1,565,,,,,,
Spilornis cheela pallidus,Spilornis cheela,Crested Serpent-Eagle,U,,,,675,925,,,358
Spilornis holospilus,Spilornis holospilus,Philippine Serpent-Eagle,B,7,705,,603,858,,Philippines ,"436, 954"
Circus aeruginosus,Circus aeruginosus,Western Marsh-Harrier,M,213,609,55.1,460,750,Y,western France,52a
Circus aeruginosus,Circus aeruginosus,Western Marsh-Harrier,F,121,814,77.6,640,1030,,,
Circus ranivorus,Circus ranivorus,African Marsh-Harrier,U,21,507,,382,606,,,133
Circus spilonotus,Circus spilonotus,Eastern Marsh-Harrier,M,2,502,,480,525,,northern China,925
Circus spilonotus,Circus spilonotus,Eastern Marsh-Harrier,F,2,622,,585,660,,,
Circus approximans,Circus approximans,Swamp Harrier,M,54,640,50.7,520,720,,New Zealand,746
Circus approximans,Circus approximans,Swamp Harrier,F,66,870,64.9,700,1035,,,
Circus maillardi maillardi,Circus maillardi,Reunion Harrier,F,,573,,,,,estimated,1111
Circus maillardi macrosceles,Circus maillardi,(Madagascar) Reunion Harrier,M,,600,,,,,,1111
Circus maillardi macrosceles,Circus maillardi,(Madagascar) Reunion Harrier,F,,850,,,,,,
Circus buffoni,Circus buffoni,Long-winged Harrier,M,11,420,,390,464,,Suriname,"358, 498"
Circus buffoni,Circus buffoni,Long-winged Harrier,F,5,613,,579,645,,,
Circus assimilis,Circus assimilis,Spotted Harrier,M,6,465,,412,537,,Australia,746
Circus assimilis,Circus assimilis,Spotted Harrier,F,5,671,,530,745,,,
Circus maurus,Circus maurus,Black Harrier,U,8,509,,350,760,,South Africa,1036
Circus cinereus,Circus cinereus,Cinereous Harrier,M,4,337,,315,359,,Tierra del Fuego; Chile,"546, 570"
Circus cinereus,Circus cinereus,Cinereous Harrier,F,4,474,,427,510,,,
Circus cyaneus hudsonius,Circus cyaneus,Northern Harrier,M,186,359,39.9,283,472,F,"New Jersey, USA",166
Circus cyaneus hudsonius,Circus cyaneus,Northern Harrier,F,174,515,54.6,375,661,,,
Circus cyaneus cyaneus,Circus cyaneus,Hen (Northern) Harrier,M,3,300,,290,320,,northern China,925
Circus cyaneus cyaneus,Circus cyaneus,Hen (Northern) Harrier,F,1,430,,,,,,
Circus macrourus,Circus macrourus,Pallid Harrier,M,4,332,,311,374,,,273
Circus macrourus,Circus macrourus,Pallid Harrier,F,17,445,,402,550,,,
Circus melanoleucos,Circus melanoleucos,Pied Harrier,M, ,290,,,,,,1111
Circus melanoleucos,Circus melanoleucos,Pied Harrier,F, ,390,,,,,,
Circus pygargus,Circus pygargus,Montagu's Harrier,M,13,261,,227,305,,"Britain, UK",223
Circus pygargus,Circus pygargus,Montagu's Harrier,F,6,370,,319,445,,,
Polyboroides typus,Polyboroides typus,African Harrier-Hawk,M,,564,,500,710,,Ivory Coast,1213
Polyboroides typus,Polyboroides typus,African Harrier-Hawk,F,,711,,580,820,,,
Kaupifalco monogrammicus,Kaupifalco monogrammicus,Lizard Buzzard,M,,251,,220,275,,Ivory Coast,1213
Kaupifalco monogrammicus,Kaupifalco monogrammicus,Lizard Buzzard,F,,310,,282,340,,,
Melierax metabates,Melierax metabates,Dark Chanting-Goshawk,B,35, ,,500,910,,Angola,266
Melierax poliopterus,Melierax poliopterus,Eastern Chanting-Goshawk,M,7,548,,514,581,,,358
Melierax poliopterus,Melierax poliopterus,Eastern Chanting-Goshawk,F,3,724,,673,802,,,
Melierax canorus,Melierax canorus,Pale Chanting-Goshawk,B,12, ,,550,800,,Angola,266
Micronisus gabar,Micronisus gabar,Gabar Goshawk,B,30,,,125,230,,Angola,266
Accipiter trivirgatus,Accipiter trivirgatus,Crested Goshawk,M, ,199,,,,,,400
Accipiter trivirgatus,Accipiter trivirgatus,Crested Goshawk,F, ,353,,,,,,
Accipiter toussenelii,Accipiter toussenelii,Red-chested Goshawk,M,2,164,,148,185,,DR Congo,707
Accipiter toussenelii,Accipiter toussenelii,Red-chested Goshawk,F,4,306,,257,340,,,
Accipiter griseiceps,Accipiter griseiceps,Sulawesi Goshawk,M,1,212,,,,,,358
Accipiter griseiceps,Accipiter griseiceps,Sulawesi Goshawk,F,1,299,,,,,,
Accipiter tachiro,Accipiter tachiro,African Goshawk,M,4,202,,192,218,,Zimbabwe,"562, 563, 566"
Accipiter tachiro,Accipiter tachiro,African Goshawk,F,1,381,,,,,,
Accipiter castanilius,Accipiter castanilius,Chestnut-flanked Sparrowhawk,M,5,,,135,150,,,139
Accipiter castanilius,Accipiter castanilius,Chestnut-flanked Sparrowhawk,F,7,,,152,200,,,
Accipiter badius,Accipiter badius,Shikra,M, ,122,,100,150,,Ivory Coast,1213
Accipiter badius,Accipiter badius,Shikra,F,,141,,130,150,,,
