Species,Scientific Name, Common Name,Sex,N,Mean,S.D.,Min,Max, Season,Location ,Source #
Apus apus,Apus apus,Common Swift,U,218,37.6,,31,43,B,"Britain, UK",223
Apus unicolor,Apus unicolor,Plain Swift,B,208,22.5,3.1,18.4,30,,,401a
Apus niansae,Apus niansae,Nyanza Swift,B,37,32.5, ,24,39,, ,126
Apus pallidus,Apus pallidus,Pallid Swift,U,661,41.9,2.8,34.5,50,,Spain,502
Apus barbatus,Apus barbatus,African Swift,B,18,42.8,,39,50,,,126
Apus berliozi,Apus berliozi,Forbes-Watson's Swift,B,29,38.2,,34,46,, ,126
Apus bradfieldi,Apus bradfieldi,Bradfield's Swift,B,35,42.4,,33,50,,Angola,130
Apus balstoni,Apus balstoni,Madagascar Swift,B,4,46.1,,38,51,,Madagascar,68
Apus pacificus,Apus pacificus,Fork-tailed Swift,B,16,46,,37,54,B,Mongolia; China,"223, 1088"
Apus pacificus,Apus pacificus,Fork-tailed Swift,U,20,33.8,5.9,22,47,,Australia,1196a 
Apus affinis bannermani,Apus affinis,Little Swift,U,5,23.9,,23,25,,,129
Apus affinis theresae,Apus affinis,Little Swift,U,30,24.9,,19,30,,Angola,129
Apus affinis affinis,Apus affinis,Little Swift,B,154,17.9,,15,21.5,,India,836
Apus affinis kuntzi,Apus affinis,Little Swift,M,5,21.1,,20,32,,,516
Apus affinis kuntzi,Apus affinis,Little Swift,F,9,26.1,,22,35,,,
Apus nipalensis ,Apus nipalensis,House Swift,U,34, ,,24.5,36.3,, ,1287
Apus horus horus,Apus horus,Horus Swift,B,6, ,,26,29,,Angola,266
Apus caffer ,Apus caffer,White-rumped Swift,U,54,22.1,,18,28,,tropical Africa,223
Hemiprocne coronata,Hemiprocne coronata,Crested Treeswift,B,6,29, ,26,34,,India; Nepal; Thailand,"198. 740, 1148"
Hemiprocne longipennis,Hemiprocne longipennis,Gray-rumped Treeswift,U,1,42.8, , , ,,Borneo,1218
Hemiprocne comata comata,Hemiprocne comata,Whiskered Treeswift,B,10,18.2,1.7,15.6,21.8,,,1154
Hemiprocne comata major ,Hemiprocne comata,Whiskered Treeswift,B,20,23.4,1.5,20.2,25.3,,,1143
Hemiprocne mystacea,Hemiprocne mystacea,Moustached Treeswift,B,11,70.1,8.1,57,80,,New Guinea; Solomon Is.,"283, 399, 427, 535, 658"
Ramphodon naevius,Ramphodon naevius,Saw-billed Hermit,U,366,7.9,1.2, , ,,Brazil,880
Eutoxeres aquila,Eutoxeres aquila,White-tipped Sicklebill,U,24,10.6,1.4,8.6,14.5,,southwest Columbia ,1037
Eutoxeres condamini,Eutoxeres condamini,Buff-tailed Sicklebill,U,24,9.4,0.3,,,,,136
Eutoxeres condamini,Eutoxeres condamini,Buff-tailed Sicklebill,U,22,12.4,1.6,,,,Columbia,1038a
Glaucis dohrnii,Glaucis dohrnii,Hook-billed Hermit,U,3,5.8,,,,,Brazil,880
Glaucis hirsutus,Glaucis hirsutus,Rufous-breasted Hermit,B,4,5.9,,5,7,,Panama,990
Glaucis hirsutus,Glaucis hirsutus,Rufous-breasted Hermit,U,224,7,,5,9.5,,Trinidad ,1131
Glaucis hirsutus,Glaucis hirsutus,Rufous-breasted Hermit,U,253,7.5,0.9,,,,Brazil,880
Glaucis aeneus,Glaucis aeneus,Bronzy Hermit,B,4,4.8,,4,5.4,,Ecuador; Costa Rica,1145
Threnetes ruckeri,Threnetes ruckeri,Band-tailed Barbthroat,U,3,5.2, ,4.5,6,,Belize,580
Threnetes niger leucurus,Threnetes niger,Pale-tailed Barbthroat,U,42,5.6,0.1,,,,,136
Phaethornis yaruqui,Phaethornis yaruqui,White-whiskered Hermit,U,18,5.4,0.7,4,7,,Columbia,1037
Phaethornis guy,Phaethornis guy,Green Hermit,U,86,6.3,,5.5,8,,Trinidad,576
Phaethornis guy,Phaethornis guy,Green Hermit,B,23,,,4,5.5,,Panama,990
Phaethornis hispidus,Phaethornis hispidus,White-bearded Hermit,U,41,5,0.4,,,,Columbia ,219
Phaethornis longirostris,Phaethornis longirostris,Western Long-billed Hermit,U, ,6,,,,,Costa Rica,1178
Phaethornis superciliosus,Phaethornis superciliosus,Eastern Long-billed Hermit,U,54,6.3,0.5,,,,Columbia,219a
Phaethornis malaris,Phaethornis malaris,Great-billed Hermit,B,14,5.9,0.5, , ,,Columbia,1009
Phaethornis syrmatophorus,Phaethornis syrmatophorus,Tawny-bellied Hermit,U,34,5.8,1,4.3,10.4,,Columbia ,1037
Phaethornis koepckeae,Phaethornis koepckeae,Koepcke's Hermit,M,16,5.4,,4.7,5.8,,Peru,259
Phaethornis koepckeae,Phaethornis koepckeae,Koepcke's Hermit,F,10,4.7,,4.4,4.9,,,
Phaethornis philippii,Phaethornis philippii,Needle-billed Hermit,B,10,5,0.4,,,, ,"208, 319, 861, 1178"
Phaethornis bourcieri,Phaethornis bourcieri,Straight-billed Hermit,B,21,4.3,0.5,3.4,5.5,,Venezuela,1308
Phaethornis anthophilus,Phaethornis anthophilus,Pale-bellied Hermit,U,14,5.9,0.9,4,8,,Venezuela ,1254
Phaethornis eurynome,Phaethornis eurynome,Scale-throated Hermit,U,155,5.3,0.6, , ,,Brazil,880
Phaethornis pretrei,Phaethornis pretrei,Planalto Hermit,U,124,5.6,0.6, , ,,Brazil,880
Phaethornis augusti,Phaethornis augusti,Sooty-capped Hermit,U,10,6,0.8,4,6,,Venezuela; Argentina,1254
Phaethornis subochraceus,Phaethornis subochraceus,Buff-bellied Hermit,B,10,3.8,0.3,3.5,4.5,,Bolivia,1143
Phaethornis squalidus,Phaethornis squalidus,Dusky-throated Hermit,U,24,3.4,0.5,,,,Brazil,880
Phaethornis rupurumii,Phaethornis rupurumii,Streak-throated Hermit,U,,3.7,,,,,,522
Phaethornis longuemareus,Phaethornis longuemareus,Little Hermit,U,58,3,0.4,,,,,136
Phaethornis idaliae,Phaethornis idaliae,Minute Hermit,U,8,2.6,,,,,,"453, 880"
Phaethornis nattereri,Phaethornis nattereri,Cinnamon-bellied Hermit,U,1,3.1,,,,,,453
Phaethornis ruber,Phaethornis ruber,Reddish Hermit,U,13,2.4,,,,,,"136, 219, 875, 876, 880"
Phaethornis stuarti,Phaethornis stuarti,White-browed Hermit,U,2,2.9,,,,,Peru ,1288
Phaethornis atrimentalis,Phaethornis atrimentalis,Black-throated Hermit,B,5,2.6,,,,,Columbia,1009
Phaethornis striigularis,Phaethornis striigularis,Stripe-throated Hermit,U,,3,,,,,,522
Phaethornis griseogularis,Phaethornis griseogularis,Gray-chinned Hermit,U,9,2.3,,,,,Peru; Ecuador; Venezuela,"136, 953, 1302, 1308, 1311"
Androdon aequatorialis,Androdon aequatorialis,Tooth-billed Hummingbird,U,10,7.3,,5.5,9.1,,Panama,"136, 990, 1037"
Doryfera ludovicae,Doryfera ludovicae,Green-fronted Lancebill,U,17,6,0.3,5.1,6.1,,Columbia,324a
Doryfera johannae guianensis,Doryfera johannae,Blue-fronted Lancebill,M,15,4.4, ,3,5,,Venezuela,296
Doryfera johannae guianensis,Doryfera johannae,Blue-fronted Lancebill,F,6,4.7,,4,6,,,
Doryfera johannae,Doryfera johannae,Blue-fronted Lancebill,U,21,5.4,3.3, ,,,Columbia,1038a
Phaeochroa cuvierii,Phaeochroa cuvierii,Scaly-breasted Hummingbird,U,37,8.9,0.4,,,,,136
Campylopterus curvipennis,Campylopterus curvipennis,Wedge-tailed Sabrewing,B,13,6,1.1,4.3,7.4,,"Belize; Yucatan, Mexico","910a, 1027"
Campylopterus excellens,Campylopterus excellens,Long-tailed Sabrewing,M,22,10.8,1,9.2,12.7,,"Veracruz, Mexico",1322
Campylopterus excellens,Campylopterus excellens,Long-tailed Sabrewing,F,18,6.8,0.5,5.9,8,,,
Campylopterus largipennis,Campylopterus largipennis,Gray-breasted Sabrewing,U,29,8.3,0.2,,,,,136
Campylopterus rufus,Campylopterus rufus,Rufous Sabrewing,M,9,7.7,,7,9,,El Salvador,1041a
Campylopterus rufus,Campylopterus rufus,Rufous Sabrewing,F,4,6.2,,6,6.3,,,
Campylopterus rufus,Campylopterus rufus,Rufous Sabrewing,U,25,7.5,1.1,5.8,9,,El Salvador,1041a
Campylopterus hemileucurus,Campylopterus hemileucurus,Violet Sabrewing,M,18,11,1.8,8.1,16,,El Salvador,1041a
Campylopterus hemileucurus,Campylopterus hemileucurus,Violet Sabrewing,F,60,8.6,1.3,6,14,,,
Campylopterus hyperythrus,Campylopterus hyperythrus,Rufous-breasted Sabrewing,B,5,6.4,,5,7,,Venezuela,1143
Campylopterus ensipennis,Campylopterus ensipennis,White-tailed Sabrewing,U,7,9.6,,,,,,"136, 359"
Campylopterus falcatus,Campylopterus falcatus,Lazuline Sabrewing,U,10,7.2,,,,,,"136, 200, 633, 1254"
Campylopterus villaviscensio,Campylopterus villaviscensio,Napo Sabrewing,M,8,8.4,,7.4,9.3,,Peru ,259
Campylopterus villaviscensio,Campylopterus villaviscensio,Napo Sabrewing,F,16,6.5,,5.2,7.4,,,
Campylopterus duidae,Campylopterus duidae,Buff-breasted Sabrewing,M,35,6.8,0.8,5,8,,Venezuela,1308
Campylopterus duidae,Campylopterus duidae,Buff-breasted Sabrewing,F,22,5.4,0.7,4.7,7.8,,,
Campylopterus cirrochloris,Campylopterus cirrochloris,Sombre Hummingbird,U,878,7.7,0.7,,,,Brazil,880
Eupetomena macroura,Eupetomena macroura,Swallow-tailed Hummingbird,U,474,9,0.9, , ,,Brazil,880
Florisuga mellivora,Florisuga mellivora,White-necked Jacobin,U,28,7.4,0.6,,,,,136
Florisuga fuscus,Florisuga fuscus,Black Jacobin,U,2317,8.1,1,,,,Brazil,880
Colibri delphinae,Colibri delphinae,Brown Violet-ear,B,12,6.4,0.8,5.5,8,,,"200, 357, 613, 990, 1027"
Colibri thalassinus ,Colibri thalassinus,Green Violet-ear,U,84,5.9,0.3,,,,,136
Colibri coruscans,Colibri coruscans,Sparkling Violet-ear,U,16,6.7,1,3.8,8.3,,Columbia,324a
Colibri serrirostris,Colibri serrirostris,White-vented Violet-ear,U,321,6.7,0.9,,,,Brazil,880
Anthracothorax viridigula,Anthracothorax viridigula,Green-throated Mango,U,25,7.5,0.5,,,,,136
Anthracothorax prevostii,Anthracothorax prevostii,Green-breasted Mango,B,14,6.4,0.4,5.7,7,,Belize; Columbia,"1027, 1029"
Anthracothorax nigricollis,Anthracothorax nigricollis,Black-throated Mango,U,51,7,0.6,,,,,136
Anthracothorax dominicus,Anthracothorax dominicus,Antillean Mango,M,47,5.9,0.5,4.8,7.2, ,Puerto Rico ,19
Anthracothorax dominicus,Anthracothorax dominicus,Antillean Mango,F,60,5.1,0.5,4,6.4,,,
Anthracothorax dominicus,Anthracothorax dominicus,Antillean Mango,B,13,6.4,0.9,4.4,8.2,,Dominican Republic,19
Anthracothorax viridis,Anthracothorax viridis,Green Mango,B,25,6.6,0.5,6,7.8,,Puerto Rico,19
Anthracothorax mango,Anthracothorax mango,Jamaican Mango,U,7,8.3,,,,,,"78, 136, 1159"
Avocettula recurvirostris,Avocettula recurvirostris,Fiery-tailed Awlbill,M,1,4.2,,,,,"Rondonia, Brazil",1143
Topaza pella ,Topaza pella,Crimson Topaz,M,19,13.6,1.9,11,18,,,543
Topaza pella ,Topaza pella,Crimson Topaz,F,18,10.8,1.3,9,12.5,,,
Topaza pyra  ,Topaza pyra,Fiery Topaz,M,7,14.2,,12,17,, ,543
Topaza pyra  ,Topaza pyra,Fiery Topaz,F,4,11.1,,10.5,12,,,
Eulampis jugularis,Eulampis jugularis,Purple-throated Carib,U,19,9.3,1.4,7.5,12,,Martinique,1065
Eulampis jugularis,Eulampis jugularis,Purple-throated Carib,U,30,8.8,,,,,Dominica,949
Eulampis jugularis,Eulampis jugularis,Purple-throated Carib,M,30,9.7,0.9,8.3,11.7,,St. Vincent,19
Eulampis jugularis,Eulampis jugularis,Purple-throated Carib,F,50,8.3,0.6,7.1,9.5,,,
Eulampis jugularis,Eulampis jugularis,Purple-throated Carib,M,36,9.3,0.6,8.1,11,,St. Lucia,19
Eulampis jugularis,Eulampis jugularis,Purple-throated Carib,F,46,7.9,0.4,6.9,8.7,,,
Eulampis jugularis,Eulampis jugularis,Purple-throated Carib,M,10,9.6,0.7,8.8,10.7,,Montserrat,19
Eulampis jugularis,Eulampis jugularis,Purple-throated Carib,F,16,8.1,0.4,7.4,9,,,
Eulampis holosericeus,Eulampis holosericeus,Green-throated Carib,B,36,5.7,0.5,4.7,6.9,,Caribbean Islands,19
Chrysolampis mosquitus,Chrysolampis mosquitus,Ruby-topaz Hummingbird,U,20,3.9,0.4,,,,,136
Orthorhyncus cristatus,Orthorhyncus cristatus,Antillean Crested Hummingbird,B,12,2.7,0.5,2,3.8,,Guadalupe,19
Orthorhyncus cristatus,Orthorhyncus cristatus,Antillean Crested Hummingbird,B,14,3.1,0.4,2.5,4,,Montserrat,19
Orthorhyncus cristatus,Orthorhyncus cristatus,Antillean Crested Hummingbird,B,11,3.3,0.5,2.6,4.3,,St. Vincent,19
Klais guimeti,Klais guimeti,Violet-headed Hummingbird,B,12,2.6,,,,,,"136, 489, 618"
Stephanoxis lalandi,Stephanoxis lalandi,Plovercrest,U,8,4,,,,,,"63, 136, 453, 878"
Abeillia abeillei,Abeillia abeillei,Emerald-chinned Hummingbird,U,1,2.7,,,,,,136
Lophornis ornatus,Lophornis ornatus,Tufted Coquette,U,11,2.3,,,,,,"136, 359"
Lophornis gouldii,Lophornis gouldii,Dot-eared Coquette,F,1,2.4,,,,,Brazil,449
Lophornis magnificus,Lophornis magnificus,Frilled Coquette,U,19,2.7,0.3,,,,Brazil,880
Lophornis delattrei,Lophornis delattrei,Rufous-crested Coquette,U,,2.8,,,,,Costa Rica,1170
Lophornis chalybeus verreauxi,Lophornis chalybeus,Festive Coquette,F,1,3,,,,,,453
Lophornis pavoninus,Lophornis pavoninus,Peacock Coquette,M,1,3,,,,,Venezuela ,296
Lophornis helenae,Lophornis helenae,Black-crested Coquette,U,6,2.6,,,,,,"136, 208"
Lophornis adorabilis,Lophornis adorabilis,White-crested Coquette,U,4,2.7,,,,,,136
Popelairia popelairii,Popelairia popelairii,Wire-crested Thorntail,U,,2.5,,,,,Peru,1210
Popelairia langsdorffi,Popelairia langsdorffi,Black-bellied Thorntail,U,5,2.8,,,,,,"136, 208"
Discosura conversii,Discosura conversii,Green Thorntail,U,5,3,,,,,,136
Discosura longicauda,Discosura longicauda,Racket-tailed Coquette,U,2,3.4,,,,,,"136, 453"
Trochilus polytmus,Trochilus polytmus,Red-billed Streamertail,M,5,5,,4.5,5.3,,Jamaica,1159
Trochilus polytmus,Trochilus polytmus,Red-billed Streamertail,F,11,4.7,0.3,4.1,5.1,,,
Trochilus scitulus,Trochilus scitulus,Black-billed Streamertail,F,1,4,,,,,Jamaica,944
Chlorostilbon notatus,Chlorostilbon notatus,Blue-chinned Sapphire,B,30,4.2,,3.5,5,,Trinidad,359
Chlorostilbon mellisugus gibsoni,Chlorostilbon mellisugus,Blue-tailed Emerald ,U,8,2.8,,,,,,"136, 208"
Chlorostilbon mellisugus pumilus,Chlorostilbon mellisugus,Blue-tailed Emerald,B,10,2.6,0.2,,,,Columbia,1165
Chlorostilbon mellisugus caribaeus,Chlorostilbon mellisugus,Blue-tailed Emerald,M,6,2.7,,,,, ,1165
Chlorostilbon mellisugus caribaeus,Chlorostilbon mellisugus,Blue-tailed Emerald,F,4,2.5,,,,,,
Chlorostilbon mellisugus napensis,Chlorostilbon mellisugus,Blue-tailed Emerald,M,4,2.7,,,,, ,1165
Chlorostilbon mellisugus napensis,Chlorostilbon mellisugus,Blue-tailed Emerald,F,3,2.4,,,,,,
Chlorostilbon auriceps,Chlorostilbon auriceps,Golden-crowned Emerald ,B,2,2.2,,2.2,2.2,,"Jalisco, Mexico",1151
Chlorostilbon forficatus,Chlorostilbon forficatus,Cozumel Emerald ,B,3,2.5,,2.4,2.6,,"Cozumel Island, Mexico",910a
Chlorostilbon canivetii,Chlorostilbon canivetii,Canivet's Emerald ,B,19,2.5,,,,,Costa Rica,357
Chlorostilbon assimilis,Chlorostilbon assimilis,Garden Emerald ,U,2,3,,3,3.1,,,453
Chlorostilbon aureoventris,Chlorostilbon aureoventris,Glittering-bellied Emerald,U,13,3.5,,2.8,4.9,, ,"63, 208, 453, 657, 877"
Chlorostilbon olivaresi,Chlorostilbon olivaresi,Chiribiquete Emerald,M,6,3.8,,,,,Columbia,1165
Chlorostilbon olivaresi,Chlorostilbon olivaresi,Chiribiquete Emerald,F,11,3.6,0.2,,,,,
Chlorostilbon ricordii,Chlorostilbon ricordii,Cuban Emerald,B,154,3.2,0.3,2.5,5,,Cuba,19
Chlorostilbon bracei,Chlorostilbon bracei,Brace's Emerald,U,9,2.8,,2.5,3.1,,Bahamas (extinct),1159
Chlorostilbon swainsonii,Chlorostilbon swainsonii,Hispaniolian Emerald,B,20,4.3,0.6,2.5,5,,Dominican Republic,19
Chlorostilbon maugaeus,Chlorostilbon maugaeus,Puerto Rican Emerald,B,123,3.1,0.4,2.5,6,,Puerto Rico,19
Panterpe insignis,Panterpe insignis,Fiery-throated Hummingbird,U,47,5.7,0.4,,,,,136
Elvira chionura,Elvira chionura,White-tailed Emerald,U,16,3,0.2,,,,,136
Elvira cupreiceps,Elvira cupreiceps,Coppery-headed Emerald,U,13,3,,,,,,136
Eupherusa cyanophrys,Eupherusa cyanophrys,Blue-capped Hummingbird,B,7,4.8,,4.1,5.4,,Mexico,"208, 1145"
Eupherusa eximia,Eupherusa eximia,Stripe-tailed Hummingbird,U,126,4.3,0.3,,,,,136
Eupherusa nigriventris,Eupherusa nigriventris,Black-bellied Hummingbird,U, ,3.5,,,,,Costa Rica,1163
Goethalsia bella,Goethalsia bella,Rufous-cheeked Hummingbird,B,4,3.4,,3,4,, ,"208, 990"
Goldmania violiceps,Goldmania violiceps,Violet-capped Hummingbird,B,16,4.1,,3.2,4.5,,Panama ,79
Cynanthus sordidus,Cynanthus sordidus,Dusky Hummingbird,U,4,4,,3.4,4.3,, ,"74, 208"
Cynanthus latirostris,Cynanthus latirostris,Broad-billed Hummingbird,B,19,3.1,0.4,2.5,4,,western Mexico,1151
Cyanophaia bicolor,Cyanophaia bicolor,Blue-headed Hummingbird,B,9,4.5,,4.2,4.8,,Dominica,19
Thalurania colombica,Thalurania colombica,Violet-crowned Woodnymph,B,114,4.5,0.5,,,,Costa Rica,80
Thalurania ridgwayi,Thalurania ridgwayi,Mexican Woodnymph,B,7,3.8,,3.5,4.2,,"Jalisco, Mexico",1143
Thalurania furcata,Thalurania furcata,Fork-tailed Woodnymph,U,72,4.4,0.2,,,,,136
Thalurania furcata baeri,Thalurania furcata,Fork-tailed Woodnymph,U,11,4,0.2,3.8,4.2,,Brazil,392
Thalurania watertonii,Thalurania watertonii,Long-tailed Woodnymph,U,3,4.6,,,,,,"136, 453"
Thalurania glaucopis,Thalurania glaucopis,Violet-capped Woodnymph,U,880,4.8,0.6, , ,,Brazil,880
Damophila julie,Damophila julie,Violet-bellied Hummingbird,U,51,3.3,0.2,,,,,136
Lepidopyga coeruleogularis,Lepidopyga coeruleogularis,Sapphire-throated Hummingbird,F,3,4.2,,,,,Panama,489
Lepidopyga goudoti,Lepidopyga goudoti,Shining-green Hummingbird,U,4,4,,,,, ,136
Hylocharis eliciae,Hylocharis eliciae,Blue-throated Goldentail,U,13,3.6,,,,,,136
Hylocharis sapphirina,Hylocharis sapphirina,Rufous-throated Sapphire,U,19,4.4,0.4,,,,Brazil,880
Hylocharis cyanus,Hylocharis cyanus,White-chinned Sapphire,B,25,3.3,,2.7,4,,Suriname,498
Hylocharis chrysura,Hylocharis chrysura,Gilded Sapphire,B,14,4.5,,,,,,"208, 210a, 453, 880"
Hylocharis grayi,Hylocharis grayi,Blue-throated Sapphire,B,9,5.6,,4.6,6.3,, ,"208, 798, 1167"
Hylocharis humboldtii,Hylocharis humboldtii,Humboldt's Sapphire,B,5,6.2,,5.8,6.6,,Columbia,1167
Hylocharis xantusii,Hylocharis xantusii,Xanthus's Hummingbird,B,23,3.4, ,3.1,4,,"Baja California, Mexico",541
Hylocharis leucotis,Hylocharis leucotis,White-eared Hummingbird,M,158,3.6,0.3,,,,,314
Hylocharis leucotis,Hylocharis leucotis,White-eared Hummingbird,F,51,3.2,0.2,,,,,
Chrysuronia oenone,Chrysuronia oenone,Golden-tailed Sapphire,M,28,5.3,0.4,4.7,6.3,,Venezuela,200
Chrysuronia oenone,Chrysuronia oenone,Golden-tailed Sapphire,F,8,4.8,0.4,4.3,5.3,,,
Leucochloris albicollis,Leucochloris albicollis,Wine-throated Hummingbird,U,585,6.3,0.8,,,,Brazil,880
Polytmus guainumbi,Polytmus guainumbi,White-tailed Goldenthroat,B,9,5.2,,,,,Suriname,498
Polytmus milleri,Polytmus milleri,Tepui Goldenthroat,U,1,4.1,,,,,,453
Polytmus theresiae,Polytmus theresiae,Green-tailed Goldenthroat,B,22,3.8,,3.3,4.2,,Suriname,498
Leucippus fallax,Leucippus fallax,Buffy Hummingbird,M,1,6,,,,,Venezuela ,1254
Leucippus baeri,Leucippus baeri,Tumbes Hummingbird,B,3,4.5,,4.2,5,,,"208, 1143"
Leucippus taczanowskii,Leucippus taczanowskii,Spot-throated Hummingbird,B,3,6.4,,6,7.2,,,"136, 208"
Leucippus chlorocercus,Leucippus chlorocercus,Olive-throated Hummingbird,B,4,4.6,,3.7,5.3,,,"208, 1143"
Leucippus chionogaster,Leucippus chionogaster,White-bellied Hummingbird,M,9,5.3,,4.9,6.7,,Bolivia,1055
Leucippus chionogaster,Leucippus chionogaster,White-bellied Hummingbird,F,7,4.8,,4.6,5.2,,,
Leucippus viridicauda,Leucippus viridicauda,Green-and-white Hummingbird,B,3,6.1,,5.6,6.3,, ,"208, 390"
Leucippus hypostictus,Leucippus hypostictus,Many-spotted Hummingbird,B,10,7,,,,,Peru,390
Amazilia tzacatl,Amazilia tzacatl,Rufous-tailed Hummingbird,U,105,5,0.3,,,,,136
Amazilia tzacatl,Amazilia tzacatl,Rufous-tailed Hummingbird,U,15,4.6,0.4,4,5.5,,Belize,220
Amazilia castaneiventris,Amazilia castaneiventris,Chestnut-bellied Hummingbird,U,,5,,,,,weight approximate,218
Amazilia amazilia,Amazilia amazilia,Amazilia Hummingbird,U,18,4.3,0.6,,,,,136
Amazilia alticola ,Amazilia alticola,Loja Hummingbird,U,3,4.3,,3.9,5,,Peru,1143
Amazilia yucatanensis,Amazilia yucatanensis,Buff-bellied Hummingbird,M,8,4.1,,3,4.7,,,"208, 587"
Amazilia yucatanensis,Amazilia yucatanensis,Buff-bellied Hummingbird,F,8,3.7,,2.9,4.5,,,
Amazilia rutila,Amazilia rutila,Cinnamon Hummingbird,B,14,5,0.7,3.3,5.7,,Mexico,1151
Amazilia rutila graysoni,Amazilia rutila,Cinnamon Hummingbird,B,8,5.5,,4.9,6.1,,"Tres Marias Islands, Mexico",440
Agyrtria leucogaster,Agyrtria leucogaster,Plain-bellied Emerald,B,25,4.7,,3.9,5.4,,Suriname,498
Agyrtria versicolor,Agyrtria versicolor,Versicolored Emerald,U,185,4.1,0.4, , ,,Brazil,880
Agyrtria brevirostris,Agyrtria brevirostris,White-chested Emerald,U,181,4.3,0.7,,,,Brazil,880
Agyrtria franciae,Agyrtria franciae,Andean Emerald,U,7,5,, , ,,,"136, 208"
Agyrtria candida,Agyrtria candida,White-bellied Emerald,B,13,3.8,0.4,2.9,4.3,,Mexico; Belize,"640, 910a, 1027"
Agyrtria cyanocephala,Agyrtria cyanocephala,Azure-crowned Hummingbird,U,13,5.1,1,3.7,7,,El Salvador,1041a
Agyrtria violiceps,Agyrtria violiceps,Violet-crowned Hummingbird,U,16,5.1,0.4,4.6,5.8,,"Arizona, USA",1292
Agyrtria viridifrons,Agyrtria viridifrons,Green-fronted Hummingbird,B,10,6.3, , , ,, ,"136, 1145"
Polyerata lactea,Polyerata lactea,Sapphire-spangled Emerald,U,11,4.6,0.1,,,,,136
Polyerata fimbriata,Polyerata fimbriata,Glittering-throated Emerald,U,76,4.9,0.4, , ,,Columbia ,219
Polyerata amabilis,Polyerata amabilis,Blue-chested Hummingbird,U,18,4.3,0.6,,,,,136
Polyerata decora,Polyerata decora,Charming Hummingbird,U,,4.7,,,,,,886
Polyerata rosenbergi,Polyerata rosenbergi,Purple-chested Hummingbird,U,4,3.7,,3.4,4,, ,"208, 1037"
Polyerata boucardi,Polyerata boucardi,Mangrove Hummingbird,U,,4.5,,,,,Costa Rica,1170
Saucerottia saucerrottei,Saucerottia saucerrottei,Steely-vented Hummingbird,U,139,4.5,0.4,,,,,136
Saucerottia cyanifrons,Saucerottia cyanifrons,Indigo-capped Hummingbird,U,,5,,,,,,902
Saucerottia edward,Saucerottia edward,Snowy-bellied Hummingbird,U,58,4.7,0.2,,,,,136
Saucerottia cyanura,Saucerottia cyanura,Blue-tailed Hummingbird,M,1,3.9,,,,,Honduras,1145
Saucerottia beryllina,Saucerottia beryllina,Berylline Hummingbird,B,49,4.5,,3,6,,El Salvador,1041a
Saucerottia viridigaster,Saucerottia viridigaster,Green-bellied Hummingbird,M,2,4,,3.9,4.1,,Venezuela,1308
Saucerottia viridigaster,Saucerottia viridigaster,Green-bellied Hummingbird,F,3,3.5,,3.4,3.6,,,
Saucerottia cupreicauda,Saucerottia cupreicauda,Copper-tailed Hummingbird,B,13,3.9,,3.3,5,,Brazil; Venezuela,"296, 1143"
Saucerottia tobaci,Saucerottia tobaci,Copper-rumped Hummingbird,U,83,4.7,,3.5,6,,Trinidad ,1131
Microchera albocoronata,Microchera albocoronata,Snowcap,U,8,2.7,0.2,,,,,136
Chalybura buffonii,Chalybura buffonii,White-vented Plumeleteer,M,19,7.1,0.7,6,8,,Venezuela,"1, 254"
Chalybura buffonii,Chalybura buffonii,White-vented Plumeleteer,F,24,6.5,0.9,5,8,,,
Chalybura urochrysia,Chalybura urochrysia,Bronze-tailed Plumeleteer,M,7,6.8,,6.4,7.2,,Panama,79
Chalybura urochrysia,Chalybura urochrysia,Bronze-tailed Plumeleteer,F,6,6,,5.4,7.2,,,
Lampornis clemenciae,Lampornis clemenciae,Blue-throated Hummingbird,M,195,8.4,0.2,,,,,314
Lampornis clemenciae,Lampornis clemenciae,Blue-throated Hummingbird,F,67,6.8,0.3,,,,,
Lampornis amethystinus,Lampornis amethystinus,Amethyst-throated Hummingbird,U,33,5.2,1,3,7,,El Salvador,1041a
Lampornis viridipallens,Lampornis viridipallens,Green-throated Mountain-gem,M,197,5.7,0.8,3,9,,El Salvador,1041a
Lampornis viridipallens,Lampornis viridipallens,Green-throated Mountain-gem,F,121,5,0.7,3.3,7,,,
Lampornis hemileucus,Lampornis hemileucus,White-bellied Mountain-gem,U, ,5.5,,,,,Costa Rica,1163
Lampornis castaneoventris,Lampornis castaneoventris,White-throated Mountain-gem,U,40,5.6,0.3,,,,,136
Lampornis calolaemus,Lampornis calolaemus,Purple-throated Mountain-gem,M,7,5.6,,,,,Costa Rica,357
Lampornis calolaemus,Lampornis calolaemus,Purple-throated Mountain-gem,F,2,4.2,,,,,,
Lamprolaima rhami,Lamprolaima rhami,Garnet-throated Hummingbird,B,3,7.8,,7,9.5,,,"208, 1145"
Phlogophilus hemileucurus,Phlogophilus hemileucurus,Ecuadorian Piedtail,U,15,2.8,0.5,2.2,3.7,, ,"208, 633, 899"
Phlogophilus harterti,Phlogophilus harterti,Peruvian Piedtail,B,26,2.7,,,,,Peru,370
Adelomyia melanogenys,Adelomyia melanogenys,Speckled Hummingbird,U,41,4.6,1.7, , ,,southwest Columbia,1037
Adelomyia melanogenys,Adelomyia melanogenys,Speckled Hummingbird,U,23,5.3,,,,,Ecuador,1311
